No.,Content,Score,At,Label
1,"['jelek', 'tolong', 'duit', 'gue', 'ribu', 'ngendap', 'ribu', 'gue', 'gue', 'kerja', 'gaji', 'umr', 'tolong', 'aplikasi', 'kali', 'benah']",1,06/01/2024 02.59,Negatif
2,"['tinggal', 'bis', 'lapor', 'lapor', 'rumit', 'banget', 'bayar', 'deh', 'potong', 'a']",1,10/01/2024 11.10,Negatif
3,"['pelihara', 'sistem', 'minimal', 'data', 'beli', 'orang', 'bayar', 'tiket', 'masuk', 'aplikasi', 'barcode', 'gila', 'jam', 'jam', 'subuh', 'up', 'jaring', 'halte', 'jalan', 'kaki', 'halte', 'pakai', 'tiket', 'jaklingko', 'jaklingko', 'telpon', 'angkat', 'ulang', 'kali', 'kali', 'mending', 'mikir', 'deh', 'download', 'susah', 'mending', 'mikir', 'download', 'aplikasi']",1,13/01/2024 14.50,Negatif
4,"['bayar', 'salah', 'balikin', 'dana', 'ngemis', 'gilir', 'lempar', 'bayar']",1,15/01/2024 00.51,Negatif
5,"['aplikasi', 'gagunaeror']",1,15/01/2024 01.38,Negatif
6,"['tim', 'aplikasi', 'kerja', 'tolol', 'kali', 'ya', 'aplikasi', 'hapus', 'jelek']",1,16/01/2024 10.47,Negatif
7,"['aplikasi', 'sampah', 'duit', 'pemda', 'buang', 'aplikasi']",1,21/01/2024 00.25,Negatif
8,"['kocak', 'sistem', 'tangan', 'keluh', 'nasabah']",1,22/01/2024 02.11,Negatif
9,"['tulis', 'nomor', 'hp', 'nomor', 'otp', 'muncul', 'muncul', 'pesan', 'tolol', 'banget', 'asw', 'aplikasi']",1,23/01/2024 08.27,Negatif
10,"['aplikasi', 'alat', 'halte', 'csw', 'utama', 'rusak', 'disaranin', 'pakai', 'aplikasi', 'pakai', 'last', 'ending', 'gojek', 'mbak', 'mbak', 'ramah']",1,26/01/2024 17.38,Negatif
11,['aplikasi'],1,27/01/2024 03.45,Negatif
12,"['kecewa', 'kali', 'hasil', 'transaksi', 'tiket', 'bayar', 'hasil', 'uang', 'tunggu', 'minggu', 'uang']",1,28/01/2024 08.05,Negatif
13,['aplikasi'],1,29/01/2024 02.52,Negatif
14,"['saldo', 'gua', 'potong', 'qris', 'pakai', 'komplain', 'sampah', 'refund', 'deh', 'refund', 'aplikasi', 'sampah', 'gasiap', 'kota', 'modern', 'sok', 'aplikasi', 'kayak']",1,04/02/2024 12.58,Negatif
15,"['uninstall', 'pesan', 'tiket', 'scan', 'sulit', 'rumit']",1,05/02/2024 13.05,Negatif
16,"['kali', 'beli', 'tiket', 'transjakarta', 'confirm', 'bayar', 'halte', 'berangkat', 'beda', 'scan', 'tiket', 'pakai']",1,06/02/2024 18.42,Negatif
17,"['aplikasi', 'sampah']",1,07/02/2024 05.31,Negatif
18,"['aplikasi', 'cari', 'rute', 'temu', 'jaklinko']",1,13/02/2024 02.10,Negatif
19,"['saldo', 'ribu', 'pakai', 'refund', 'lemah', 'transaksi', 'hasil']",1,15/02/2024 13.41,Negatif
20,"['kecewa', 'aplikasi', 'jaklingko', 'kali', 'pesan', 'tiket', 'hasil', 'uang', 'bayar', 'uang']",1,21/02/2024 08.16,Negatif
21,"['aplikasi', 'kon']",1,21/02/2024 14.27,Negatif
22,"['rumit', 'sampah', 'aplikasi']",1,24/02/2024 23.34,Negatif
23,"['masuk', 'titik', 'bayar', 'eh', 'scan', 'gate', 'gara', 'gara', 'titik', 'ubah', 'tibatiba', 'kali', 'pakai', 'aplikasi', 'scan']",1,25/02/2024 23.53,Negatif
24,['jelek'],1,26/02/2024 12.28,Negatif
25,"['aplikasi', 'buruk', 'buang', 'anggar', 'negara']",1,03/03/2024 13.48,Negatif
26,"['aplikasi', 'bodoh', 'the', 'point', 'rumit', 'pakai', 'suruh', 'kesana', 'kemari', 'baca', 'detail']",1,03/03/2024 16.28,Negatif
27,"['pakai', 'aplikasi', 'buru', 'buru', 'aplikasi', 'lambat', 'server', 'down', 'fungsi', 'scan', 'kadang', 'sulit', 'salah', 'pilih', 'halte', 'refund', 'pokok', 'aplikasi', 'user', 'hostile', 'mending', 'beli', 'kartu', 'jaklingko', 'program', 'benah']",1,04/03/2024 05.42,Negatif
28,"['kasih', 'bintang', 'hapus', 'google', 'biar', 'kena', 'double', 'charge', 'saldo']",1,08/03/2024 15.56,Negatif
29,"['lambat', 'muter']",1,09/03/2024 20.26,Negatif
30,"['tunggu', 'jam', 'mrt', 'gara', 'aplikasi', 'error', 'buka', 'data', 'seluler', 'bagus']",1,12/03/2024 15.10,Negatif
31,"['jam', 'sibuk', 'usaha', 'kendala', 'aplikasi', 'jam', 'pulang', 'kantor', 'error']",1,21/03/2024 10.02,Negatif
32,"['aplikadi', 'asa', 'pakai', 'transjakarta', 'a', 'pantai', 'maju', 'eh', 'mah', 'kagak', 'aplikasi', 'lucu', 'jaklingko', 'mikrotik', 'transjakarta', 'baca', 'pergi']",1,30/03/2024 20.33,Negatif
33,"['sumpah', 'ya', 'allah', 'aplikasi', 'orang', 'emosigue', 'halte', 'blok', 'out', 'tugas']",1,01/04/2024 00.51,Negatif
34,"['layak', 'aplikasi']",1,05/04/2024 02.12,Negatif
35,"['tolong', 'sistem', 'susah', 'gue', 'beli', 'tiket', 'jaklingko', 'halte', 'mayor', 'slesai', 'bar', 'ubah', 'rute', 'halte', 'pasar', 'timur', 'kali', 'menit', 'gue', 'beliblagi', 'aneh', 'banget', 'woy']",1,16/04/2024 04.44,Negatif
36,['jelek'],1,22/04/2024 03.38,Negatif
37,"['aplikasi', 'sampah', 'topup', 'saldo']",1,26/04/2024 07.21,Negatif
38,"['kemudi', 'mobil', 'ugalugalan', 'malas', 'ambil', 'tumpang', 'cepat', 'doang', 'ambil', 'tumpang']",1,01/05/2024 08.08,Negatif
39,"['tolong', 'supir', 'jaklingko', 'niat', 'kerja', 'resign', 'mending', 'mentang', 'gratis', 'layan', 'kayak', 'kotor', 'hewan', 'najis']",1,04/05/2024 10.30,Negatif
40,"['qr', 'tiru', 'aplikasi', 'transjakarta']",1,05/05/2024 07.44,Negatif
41,"['aplikasi', 'salah']",1,05/05/2024 10.35,Negatif
43,"['aplikasi', 'buruk', 'server', 'lambat', 'penetuan', 'lokasi', 'pergi', 'akurat', 'user', 'friendly', 'adakan', 'fitur', 'beli', 'tiket', 'aplikasi', 'go', 'grab', 'shopee', 'banding', 'aplikasi', 'fitur', 'fokus', 'serius', 'tugas', 'utama', 'aplikasi', 'overall', 'ui', 'ux', 'sesuai', 'harap']",1,08/05/2024 16.58,Negatif
44,"['aplikasi', 'rumit', 'scam', 'saldo', 'ewallet', 'potong', 'proses', 'berbulanbulan', 'aju', 'dana']",1,11/05/2024 05.32,Negatif
45,"['pagi', 'suami', 'tabrak', 'angkot', 'jaklingko', 'jaklingko', 'tanggung', 'please', 'jaklingko', 'jaklingko', 'ngejar', 'setor', 'kalo', 'bawa', 'mobil', 'ngebut', 'ngebut']",1,14/05/2024 00.27,Negatif
46,"['buruk', 'beli', 'tiket', 'kode', 'qris', 'scan']",1,14/05/2024 00.35,Negatif
47,"['aplikasi', 'isi', 'info', 'doang', 'rute']",1,15/05/2024 00.39,Negatif
48,"['aplikasi', 'aco', 'bin', 'ngawur', 'kapok', 'rekomendasi', 'rute', 'aplikasi']",1,15/05/2024 08.09,Negatif
49,"['developer', 'gaji', 'buta', 'cari', 'komisi', 'proyek', 'aplikasi', 'beratbesar', 'ram', 'hp', 'wifispeed', 'lot', 'posisi', 'kendara', 'real', 'time', 'dstdst']",1,15/05/2024 23.46,Negatif
50,"['aplikasi', 'model', 'mending', 'armada', 'sih', 'weekend', 'rangin']",1,18/05/2024 10.09,Negatif
51,"['buruk', 'sejarah', 'dunia', 'angkot', 'banding', 'nih', 'mentang', 'mentang', 'gratis', 'enak', 'layan', 'publik', 'gratis', 'biaya', 'operasional', 'tanggung', 'pajak']",1,18/05/2024 12.36,Negatif
52,"['aneh', 'buka', 'qris', 'jaklingko', 'jaklingko', 'muncul', 'tejadi', 'salah', 'sistem', 'mending', 'transjakarta', 'pakai', 'kartu', 'elektronik', 'aplikasi', 'transjakarta', 'deh']",1,20/05/2024 05.00,Negatif
53,"['aplikasi', 'cemen']",1,20/05/2024 09.34,Negatif
54,"['isi', 'pulsa', 'saldo', 'nih', 'aplikasi', 'banget']",1,21/05/2024 14.52,Negatif
55,"['tolong', 'tingkat', 'kualitas', 'aplikasi', 'aplikasi', 'banget', 'error', 'akibat', 'tiket', 'pakai', 'rugi', 'customer']",1,24/05/2024 10.28,Negatif
56,"['servernya', 'benerin', 'servernya', 'lambat', 'servernya', 'server', 'server', 'telat', 'berangkat', 'pulang', 'gara', 'servernya', 'server', 'server', 'benerin', 'oy']",1,24/05/2024 10.38,Negatif
57,"['jam', 'sibuk', 'aplikasi', 'down', 'refund', 'tiket', 'hasil', 'salah', 'aplikasi', 'butuh', 'super', 'duper', 'kali', 'ganti', 'direktur', 'becus', 'urus', 'sepele']",1,24/05/2024 10.50,Negatif
58,"['salah', 'capek']",1,24/05/2024 11.03,Negatif
59,"['aplikasi', 'lemah']",1,26/05/2024 04.28,Negatif
60,"['login', 'register', 'hasil']",1,26/05/2024 18.03,Negatif
61,"['beli', 'tiket', 'qris', 'dana', 'dana', 'bayar', 'tiket', 'aplikasi', 'jaklingko', 'pending', 'buka', 'paksa', 'beli', 'uang', 'bawa', 'duit', 'pas']",1,28/05/2024 13.02,Negatif
62,"['supirnya', 'songonglewat', 'doangbangke']",1,30/05/2024 00.33,Negatif
63,"['tolong', 'akurat', 'halte', 'tingkat', 'lucu', 'turun', 'beda', 'halte', 'halte', 'qris', 'scan']",1,02/06/2024 01.52,Negatif
64,"['maaf', 'kasih', 'bintang', 'aplikasi', 'salah', 'beli', 'tiket', 'berhasiltapimau', 'buka', 'qrnya', 'aplikasi', 'mohon', 'serius', 'memperpaikinya']",1,02/06/2024 08.51,Negatif
65,"['aplikasi', 'integrasi', 'rumit', 'qrcode', 'rute', 'aplikasi', 'mending', 'pakai', 'kartu', 'ketimbang', 'aplikasi', 'rumit']",1,08/06/2024 00.52,Negatif
66,"['apaapaan', 'pakai', 'aplikasi', 'download', 'pas', 'daftar', 'nomer', 'daftar', 'suruh', 'pakai', 'nomer', 'nomer', 'pakai', 'orang', 'pakai', 'nomer', 'jaklingko', 'jaklingko']",1,10/06/2024 15.12,Negatif
67,['lemah'],1,11/06/2024 08.56,Negatif
68,"['daftar', 'kartu', 'jakarta', 'jaklingko', 'server', 'salah', 'melulu', 'salah', 'daftar']",1,13/06/2024 23.12,Negatif
69,['kerja'],1,16/06/2024 12.01,Negatif
70,"['user', 'banget', 'regist', 'mentok', 'kode', 'otp', 'masuk', 'motif', 'login', 'hadeh']",1,18/06/2024 22.58,Negatif
71,"['pakai', 'aplikasinta', 'beli', 'tiket', 'kode', 'qr', 'scan']",1,19/06/2024 11.26,Negatif
72,"['rute', 'ngetes', 'lokasi', 'rumah', 'sekolah', 'rumah', 'temu', 'rute', 'jaklingko', 'ngelewatin', 'rute']",1,20/06/2024 14.53,Negatif
73,"['alam', 'jaklingko', 'jaklingko', 'buruk', 'butuh', 'jaklingko', 'jaklingko', 'feeder', 'transjakarta', 'rute', 'serpongkalideres', 'layan', 'jam', 'malam', 'terluntalunta', 'feeder', 'transjakarta', 'rute', 'seringkali', 'lambat', 'menit', 'acara', 'batal', 'moga', 'feeder', 'transjakarta', 'rute', 'jam', 'jam', 'kali', 'tolong', 'jam', 'operasional', 'mudah']",1,22/06/2024 16.06,Negatif
74,"['aplikasi', 'buruk', 'layan', 'tranportasi', 'buruk', 'transportasi', 'malam', 'buruk']",1,22/06/2024 16.42,Negatif
75,"['lelet', 'telat', 'kerja', 'melipir', 'macet', 'suka', 'salah', 'apknya']",1,24/06/2024 14.16,Negatif
77,"['aplikasi', 'replikasi', 'transjakarta', 'nlingko']",1,26/06/2024 23.01,Negatif
78,"['kecewa', 'berat', 'beli', 'pakai', 'input', 'mending', 'gax', 'ngrugiin']",1,28/06/2024 10.09,Negatif
79,"['kesan', 'petama', 'negatif', 'pakai', 'error', 'beli', 'kartu', 'aplikasi', 'lai', 'transjakarta', 'trans', 'rugi']",1,01/07/2024 10.56,Negatif
80,"['kecewa', 'sikap', 'supir', 'nyangga', 'ramah', 'sekalibaru', 'alami']",1,02/07/2024 10.48,Negatif
81,"['aplikasi', 'registrasi', 'kali', 'coba']",1,03/07/2024 03.36,Negatif
82,"['aplikasi', 'jaklingko', 'jaklingko', 'anjur', 'angkut', 'kci', 'grab', 'gaji', 'buta', 'developer']",1,05/07/2024 01.22,Negatif
83,"['titik', 'kota', 'ngetap', 'glodok', 'pulang', 'turun', 'kota', 'ngetap', 'kota', 'titik', 'sarinah', 'kacau', 'deh']",1,06/07/2024 21.38,Negatif
84,"['aplikasi', 'buruk', 'supir', 'jaklinko', 'jls']",1,07/07/2024 15.00,Negatif
85,"['aplikasi', 'jelek', 'gaush', 'dowload', 'lambat', 'lemah']",1,09/07/2024 04.54,Negatif
86,"['bintang', 'kesal', 'search', 'rute']",1,09/07/2024 07.24,Negatif
87,"['metode', 'bayar', 'lambat']",1,10/07/2024 00.37,Negatif
88,"['lambat', 'jam', 'cari', 'rute', 'gila']",1,10/07/2024 10.15,Negatif
89,"['siang', 'sesuai', 'jadwal', 'bagus', 'siswa', 'masuk', 'pagi']",1,11/07/2024 23.15,Negatif
90,"['salah', 'jam', 'pulang', 'kantor']",1,15/07/2024 10.32,Negatif
91,"['masyarakat', 'cari', 'nafkah', 'transportasi', 'sengsara']",1,15/07/2024 12.02,Negatif
92,"['angkotnya', 'renti', 'tunggu', 'tolong', 'traning', 'supirnyaaa']",1,16/07/2024 13.58,Negatif
93,"['kali', 'mudah', 'sulit', 'buang', 'download', 'halte', 'pdpinang', 'gor', 'sumatri', 'payment', 'qris', 'pintu', 'gor', 'sumatri', 'aplikasi', 'kode', 'barcode', 'suruh', 'halte', 'grogol', 'bawa', 'anak', 'mudah', 'pelayananya', 'cukuuup', 'tau']",1,20/07/2024 07.08,Negatif
94,[],1,22/07/2024 02.37,Negatif
95,"['gue', 'kalo', 'kasih', 'bintang', 'gue', 'kasih', 'bintang', 'nol', 'dah', 'gue', 'bawar', 'beli', 'anjr', 'daftar', 'rumit', 'bantu', 'banget', 'anjg', 'sumpah', 'gue', 'kesel', 'banget', 'daftar', 'beli', 'tiket', 'rumit', 'gue', 'busway', 'anjm', 'jaga', 'kagak', 'ngebantu', 'kecewa', 'banget', 'ajg']",1,23/07/2024 14.50,Negatif
96,"['aplikasi', 'aneh', 'kode', 'qr', 'valid', 'turun', 'halte', 'plus', 'ketidaktahuan', 'tugas', 'hadap', 'aplikasi', 'kesel', 'alas', 'tugas', 'simpel', 'sinyal', 'jelek', 'asli', 'kocak', 'saran', 'qr', 'code', 'hasil', 'qr', 'code', 'lock', 'duga', 'qr', 'code', 'terrefresh', 'shingga', 'out', 'beda']",1,24/07/2024 02.34,Negatif
97,"['aplikasi', 'pas', 'beli', 'tiket', 'suka', 'mending', 'pakai', 'kartu']",1,26/07/2024 01.21,Negatif
98,"['salah', 'login']",1,26/07/2024 01.36,Negatif
99,"['aplikasi', 'kasih', 'mulu', 'server', 'ganggu', 'lemah']",1,26/07/2024 03.40,Negatif
100,"['jelek', 'ngeleh', 'lambat', 'rumit', 'bantu']",1,01/08/2024 00.12,Negatif
101,['rumit'],1,01/08/2024 11.05,Negatif
102,"['aplikasi', 'sampah', 'tuju', 'bantu', 'rumit', 'duit', 'warga', 'jakarta', 'buang', 'siasia', 'aplikasi']",1,03/08/2024 07.28,Negatif
103,"['aplikasi', 'ya', 'payment', 'scan', 'maksud', 'coba', 'ujung', 'transaksi', 'fiktif', 'mending', 'takedown', 'server', 'aplikasi', 'ya']",1,06/08/2024 03.09,Negatif
104,"['daftar', 'rumit', 'maaf', 'uninstall']",1,06/08/2024 12.42,Negatif
105,['aplikasi'],1,07/08/2024 09.17,Negatif
106,"['aplikasi', 'ajar', 'beli', 'tiket', 'kali', 'pending', 'saldo', 'potong', 'tiket', 'muncul', 'adu', 'respon', 'hati', 'kawan', 'aplikasi', 'tipu']",1,07/08/2024 10.17,Negatif
107,['sampah'],1,07/08/2024 10.35,Negatif
108,"['aplikasi', 'bantu', 'efektif', 'transjakarta', 'qr', 'halte']",1,07/08/2024 10.57,Negatif
109,"['cek', 'aktivasi', 'kartu', 'buruk']",1,08/08/2024 13.05,Negatif
110,"['aplikasi', 'fungsi', 'normal', 'maps', 'salah', 'akurat', 'tolol', 'rugi', 'kali', 'kali', 'maps', 'hidup', 'thanks']",1,10/08/2024 10.28,Negatif
111,"['sok', 'bad', 'dont', 'use', 'this', 'aplikasi']",1,13/08/2024 02.04,Negatif
112,"['malam', 'habis', 'pelihara', 'aplikasi', 'bayar', 'pakai', 'qr', 'salah', 'mulu', 'mending', 'pakai', 'pmeliharaan', 'aplikasi', 'nyusahingk', 'updatean']",1,13/08/2024 04.52,Negatif
113,['lambat'],1,13/08/2024 05.47,Negatif
114,"['aplikasi', 'kualitas', 'nol']",1,13/08/2024 09.48,Negatif
115,"['beli', 'tiket', 'transjakarta', 'saldo', 'fello', 'potong', 'tiket', 'anjirsegera', 'uninstall']",1,15/08/2024 02.28,Negatif
116,"['error', 'payment', 'tiket', 'muncul', 'banget', 'aplikasi', 'sumpah']",1,15/08/2024 04.56,Negatif
117,"['layan', 'jaklinko', 'cepat', 'efisien', 'praktis', 'layan', 'angkot', 'confensional', 'jaklinko', 'menang', 'gratis', 'doang', 'serba', 'lambat', 'rumit', 'mutermuter', 'rute', 'bubarin', 'jaklinko', 'tuh', 'menuh', 'menuhin', 'jalan', 'sampah']",1,15/08/2024 23.39,Negatif
118,['aplikasi'],1,16/08/2024 03.31,Negatif
119,"['transjakarta', 'suruh', 'pakai', 'aplikasi', 'ganti', 'pimpin', 'ganti', 'bijak', 'sarana', 'publik', 'jabat']",1,18/08/2024 07.57,Negatif
120,"['amatir', 'aplikasi', 'sok', 'ngtnt', 'hambat']",1,19/08/2024 00.11,Negatif
121,"['aplikasi', 'buruk']",1,19/08/2024 05.30,Negatif
122,"['loginnya', 'mampus', 'jaring', 'hambat']",1,19/08/2024 05.56,Negatif
123,"['beli', 'pending', 'jelascs', 'komputer', 'balasaplikasi', 'niattolol']",1,22/08/2024 00.11,Negatif
124,"['aplikasi', 'susah', 'masyarakat', 'pesan', 'tiket', 'pending', 'kali', 'bayar', 'hasil', 'eh', 'ngetap', 'kagak', 'bisaaplikasi', 'model', 'biar', 'anggap', 'kerja', 'lihat', 'tuh', 'ratingnya', 'jelek', 'ya', 'skip', 'perubahanaplikasi', 'cocok', 'ngeprank', 'jurus', 'tipu', 'bahaya', 'ta']",1,22/08/2024 00.38,Negatif
125,"['layan', 'buruk', 'kali', 'muter', 'ujung', 'solusi', 'buruk', 'pergi', 'saldo', 'potong', 'kali', 'tau', 'saldo', 'susah', 'rugi']",1,22/08/2024 15.59,Negatif
126,['tolol'],1,23/08/2024 02.43,Negatif
127,"['bayar', 'qris', 'hasil', 'pending', 'coba', 'hubung', 'cs']",1,25/08/2024 10.11,Negatif
128,"['aplikasi', 'buruk', 'kirim', 'otp', 'banget', 'kali', 'hasil', 'tolong']",1,26/08/2024 07.46,Negatif
129,"['aplikasi', 'jelek']",1,27/08/2024 05.19,Negatif
130,"['aplikasi', 'mahal', 'mahal', 'mudah', 'sulit']",1,01/09/2024 07.04,Negatif
131,"['aplikasi', 'sulit', 'instal', 'pas', 'stasiun', 'laku', 'suruh', 'pakai', 'kartu']",1,01/09/2024 07.06,Negatif
132,"['praktis', 'sulit', 'orang', 'aplikasi']",1,03/09/2024 10.51,Negatif
133,"['pesan', 'stasiun', 'tebet', 'masuk', 'stasiun', 'cawang', 'buruk', 'nih', 'aplikasi']",1,06/09/2024 09.39,Negatif
134,"['dear', 'trans', 'jakarta', 'tolong', 'kalo', 'niat', 'aplikasi', 'beli', 'tiket', 'online', 'halte', 'mesin', 'out', 'biar', 'sulit', 'orangmesin', 'jadul', 'pakai']",1,07/09/2024 03.02,Negatif
135,"['tiket', 'kadaluarsa', 'menit', 'beli', 'jam', 'kereta', 'hasil', 'tiket', 'pakai', 'buangbuang', 'saldo', 'saran', 'tolong', 'jangka', 'tiket', 'jam', 'beli', 'terima', 'kasih']",1,07/09/2024 03.13,Negatif
136,"['rumit', 'otp', 'kayak', 'sejahtera', 'rakyat', 'sulit']",1,07/09/2024 11.39,Negatif
137,"['pagi', 'gue', 'up', 'saldo', 'fello', 'aplikasi', 'biar', 'mudah', 'bayar', 'gue', 'pakai', 'qris', 'bayar', 'up', 'muncul', 'bayar', 'qris', 'tugas', 'transjakarta', 'nyuruh', 'ngecilin', 'huruf', 'dihp', 'gue', 'gue', 'coba', 'dihp', 'gue', 'tugas', 'transjakarta', 'coba', 'pakai', 'dihp', 'muncul', 'bayar', 'ngalamin', 'saldo', 'gue', 'ngendap', 'diapk', 'tau', 'mending', 'gue', 'up', 'gara', 'aplikasi', 'gue', 'telat', 'berangkat', 'kerja']",1,08/09/2024 06.14,Negatif
138,[],1,15/09/2024 00.36,Negatif
139,"['aplikasi', 'keluh', 'armada', 'muncul', 'muncul', 'penuh', 'tanggap', 'buka', 'contact', 'center', 'customer', 'care', 'bantu']",1,15/09/2024 01.09,Negatif
140,"['aplikasi', 'kartu', 'jaklingko', 'jaklingko', 'baca', 'aplikasi', 'ira', 'pakai', 'aplikasi', 'mudah', 'eh', 'nyata', 'rumit']",1,15/09/2024 18.35,Negatif
141,"['aplikasi', 'error', 'gunain', 'bantu', 'pis', 'down', 'aplikasi', 'sesal']",1,19/09/2024 09.23,Negatif
142,"['daftar', 'nomor', 'telepon', 'email', 'email', 'masuk', 'terima', 'daftar', 'ulang', 'masuk', 'email', 'terlebihbdahulu', 'input', 'no', 'telepon', 'tulis', 'nomor', 'telepon', 'input', 'no', 'telepon', 'email', 'diinput', 'coba', 'hapus', 'akun', 'harap', 'daftar', 'ulang', 'eh', 'nyata', 'hapus', 'permanen', 'no', 'tlpga', 'no', 'telepon', 'terinstal', 'mobile', 'banking', 'email', 'sistem']",1,24/09/2024 01.35,Negatif
143,"['refund', 'tiket', 'refund', 'masuk', 'tiket', 'error', 'nungu', 'refund', 'tunggu', 'refund', 'tiket']",1,29/09/2024 10.28,Negatif
144,"['program', 'server', 'tiket', 'beli', 'muncul']",1,30/09/2024 09.13,Negatif
145,"['qr', 'masuk', 'halte', 'discan', 'bayar', 'dasar', 'developer', 'tolol', 'aplikasi', 'coba', 'user', 'langsung', 'launcing', 'susah', 'user', 'dana', 'perintah', 'sih', 'aplikasi', 'gabener', 'bayar', 'pajak', 'mahal', 'hasil', 'zeroo', 'transpotasi']",1,03/10/2024 12.15,Negatif
146,"['bayar', 'rumit', 'bayar', 'pakai', 'aplikasi', 'dana', 'lemah']",1,03/10/2024 23.53,Negatif
147,"['aplikasi', 'nama', 'jaklingko', 'lihat', 'jadwal', 'transjakarta', 'dll', 'aneh', 'banget', 'nih', 'aplikasi']",1,05/10/2024 12.40,Negatif
148,"['aplikasi', 'tolol', 'anjing', 'gue', 'beli', 'tiket', 'tegalanpal', 'putih', 'pondok', 'jadikarawaci', 'gila', 'mane', 'gue', 'bayar', 'tugas', 'bantu', 'anjing', 'main', 'hp', 'konyol']",1,07/10/2024 06.39,Negatif
149,"['submit', 'profile', 'bgttttt']",1,08/10/2024 09.47,Negatif
150,"['aplikasi', 'reami', 'pemerintahaparatur', 'negara', 'sulit', 'akses', 'kerja', 'kapai', 'aplikasi', 'rumit']",1,09/10/2024 08.05,Negatif
151,"['aplikasi', 'sad', 'mending', 'tugas', 'halte']",1,11/10/2024 06.47,Negatif
152,"['aplikasi', 'buka', 'pakai', 'wifi', 'transjakartanya', 'error', 'mulu', 'pas', 'tiketing', 'jaklingko', 'aplikasi', 'gembel']",1,11/10/2024 11.12,Negatif
153,"['aplikasi', 'ppk', 'ganggu', 'mulu']",1,11/10/2024 11.38,Negatif
154,"['daftar', 'apkikasi']",1,11/10/2024 14.28,Negatif
155,"['aplikasi', 'lambat']",1,12/10/2024 06.35,Negatif
156,"['supir', 'jaklingko', 'stres', 'ngebut', 'jalan', 'bahaya', 'kendara']",1,15/10/2024 01.13,Negatif
157,"['laku', 'bayar', 'qris', 'saldo', 'potong', 'tiket', 'aplikasi', 'status', 'bayar', 'pending']",1,18/10/2024 10.11,Negatif
158,"['aplikasi', 'perintah', 'layak', 'sampah', 'contoh', 'kayak', 'aplikasi']",1,20/10/2024 01.54,Negatif
159,"['aplikasi', 'tolol', 'bodoh', 'publik', 'halte', 'scan', 'qr', 'code', 'tugas', 'marah', 'tuduh', 'kartu', 'developer', 'ngece', 'mending', 'pakai', 'close', 'up']",1,24/10/2024 08.45,Negatif
160,"['aplikasi', 'banget']",1,25/10/2024 00.37,Negatif
161,"['rumit', 'beli', 'tiket', 'cari', 'temu']",1,26/10/2024 04.45,Negatif
162,"['aplikasi', 'lambat']",1,26/10/2024 10.04,Negatif
163,"['salah', 'coba', 'isi', 'saldo', 'fello', 'fello', 'salah', 'server', 'salah', 'pop', 'up', 'metode', 'bayar', 'muncul', 'buruk', 'errornya']",1,29/10/2024 01.05,Negatif
164,['program'],1,29/10/2024 10.09,Negatif
165,['aplikasi'],1,29/10/2024 12.24,Negatif
166,[],1,29/10/2024 14.06,Negatif
167,"['susah', 'aplikasi']",1,31/10/2024 11.24,Negatif
168,"['aplikasi', 'bego', 'error', 'mulu', 'bayar']",1,31/10/2024 22.49,Negatif
